id,title,venue,year,fos,references,keywords,n_citation,lang,abstract,publisher,CoAuthors
00000061-0bab-468b-9481-de0c899783f3,Should endometriosis be an indication for intracytoplasmic sperm injection (ICSI) in fresh IVF cycles,Fertility and Sterility,2015,None,None,None,None,en,None,Elsevier,"['Jovana P. Lekovich', 'G.D. Palermo', 'Nigel Pereira']"
008bd443-4f62-419e-a174-55336de72d18,Deciphering early folliculogenesis: Jun Amino Terminal Kinase (JNK) plays a key role in preantral follicle growth,Fertility and Sterility,2003,"['Biology', 'Endocrinology', 'Cell biology', 'Anatomy']",None,None,50,en,None,Elsevier,"['Kutluk Oktay', 'Erkan Buyuk', 'Ozgur Oktem', 'Maja H. Oktay', 'Filippo G. Giancotti']"
008c4a5c-53d3-4c3d-9c8a-2b23ddac7d42,Efficacy and safety of ganirelix acetate versus leuprolide acetate in women undergoing controlled ovarian hyperstimulation.,Fertility and Sterility,2001,"['Total fertility rate', 'Biology', 'Endocrinology', 'Embryo', 'Andrology', 'Gynecology', 'Human fertilization', 'Genetics', 'Randomized controlled trial']","['27555a22-701f-4614-b925-18fd63f1543e', '3c915df9-5491-4b34-ac8e-8b7fbcbe5b9a', '4e9e3c07-5389-4596-b97f-1cb5a2e0a95f', '603691d0-f7f1-4413-84ba-279e36e59cf7', '809f6a82-79e5-4735-958b-23cac8d40a10', '90845072-17aa-41f3-a73e-fb949c64e84d', '970bd68a-426f-4853-8058-bc1e469d1086', '97b8f9d6-c8c0-4422-9772-80c4ee38e51a', '98f564b7-008f-459a-bb78-dcb49099e22b', 'af39b50a-9c24-407b-97a6-4817537e91dd', 'b8d72ab8-87e3-4e0a-b034-6cad377261cf']","['in vitro fertilization', 'oocyte', 'north america', 'antagon', 'infertility', 'luteinizing hormone', 'embryo quality', 'embryos', 'leuprolide acetate', 'fertilization', 'open label', 'randomized trial', 'outcome measure', 'intracytoplasmic sperm injection', 'implantation rate', 'ganirelix acetate', 'pregnancy rate', 'fertility rate', 'controlled ovarian hyperstimulation']",277,en,"Abstract  Objective: To assess the efficacy, safety, and local tolerance of ganirelix acetate for the inhibition of premature luteinizing hormone (LH) surges in women undergoing controlled ovarian hyperstimulation (COH).  Design: Phase III, multicenter, open-label randomized trial.  Setting: In vitro fertilization (IVF) centers in North America.  Patient(s): Healthy female partners (n = 313) in subfertile couples for whom COH and IVF or intracytoplasmic sperm injection were indicated.  Intervention(s): Patients were randomized to receive one COH cycle with ganirelix or the reference treatment, a long protocol of leuprolide acetate in conjunction with follitropin-β for injection.  Outcome Measure(s): Number of oocytes retrieved, pregnancy rates, endocrine variables, and safety variables.  Result(s): The mean number of oocytes retrieved per attempt was 11.6 in the ganirelix group and 14.1 in the leuprolide group. Fertilization rates were 62.4% and 61.9% in the ganirelix and leuprolide groups, respectively, and implantation rates were 21.1% and 26.1%. Clinical and ongoing pregnancy rates per attempt were 35.4% and 30.8% in the ganirelix group and 38.4% and 36.4% in the leuprolide acetate group. Fewer moderate and severe injection site reactions were reported with ganirelix (11.9% and 0.6%) than with leuprolide (24.4% and 1.1%).  Conclusion(s): Ganirelix is effective, safe, and well tolerated. Compared with leuprolide acetate, ganirelix therapy has a shorter duration and fewer injections but produces a similar pregnancy rate.",Elsevier,"['Margo R. Fluker', 'James A. Grifo', 'Arthur Leader', 'Michael Levy', 'David R. Meldrum', 'Suheil J. Muasher', 'John Rinehart', 'R.T. Scott', 'W.B. Schoolcraft', 'Daniel B Shapiro', 'Keith Gordon']"
00e0907a-77bf-4fa7-bb3d-4c1c5b08e0fd,Ovarian hyperstimulation syndrome prevention strategies: reducing the human chorionic gonadotropin trigger dose.,Seminars in Reproductive Medicine,2010,"['Biology', 'Endocrinology', 'Reproduction', 'Andrology', 'Preventive healthcare', 'Gynecology', 'Complication', 'Genetics']",None,"['hormona proteina', 'protein hormone', 'gonadotrofina corionica', 'human chorionic gonadotrophin', 'pathologie de l appareil genital femelle', 'hormone placentaire', 'hombre', 'reproduccion', 'aparato genital hembra patologia', 'ovarian hyperstimulation syndrome', 'prevention', 'complication', 'reproduction', 'hormone proteine', 'gonadotrophine chorionique', 'hcg', 'human', 'chorionic gonadotrophin', 'female genital diseases', 'hiperestimulacion ovarica sindrome', 'placental hormone', 'syndrome d hyperstimulation ovarienne', 'complicacion', 'hormona placentaria', 'low dose hcg', 'homme', 'prevencion']",50,en,"This article reviews the biological plausibility and evidence for the use of a low triggering dose of human chorionic gonadotropin (hCG) in the prevention of ovarian hyperstimulation syndrome (OHSS). A systematic search of the literature revealed very little published data for or against the use of low-dose hCG in the prevention of OHSS after assisted reproductive technology. We have had success at avoiding OHSS as a result of gentle stimulation and low-dose sliding scale hCG trigger based on estradiol (E  2 ) levels. We therefore present the biological plausibility for such an approach by reviewing the relationship between OHSS, vascular endothelial growth factor, and hCG; the physiology of hCG; the relationship between risk of OHSS and E  2  at trigger; and the physiology of alternative methods of triggering such as recombinant luteinizing hormone and gonadotropin-releasing hormone agonist. We also present the results of a quasi-experimental before and after study of the sliding scale protocol for hCG trigger dose in in vitro fertilization with or without intracytoplasmic sperm injection cycles.",Semin Reprod Med,"['Sonya Kashyap', 'Kasey Parker', 'Marcelle I. Cedars']"
00efb164-569f-4dc5-be43-6e258540b6c3,Does first polar body array CGH analysis correlate with a cleavage stage embryo biopsy in IVF-ICSI cycles and preimplantation genetic screening,Fertility and Sterility,2012,"['Biology', 'Gynecology', 'Genetics', 'Anatomy']",None,None,None,en,None,Elsevier,"['T. Singer', 'Kangpu Xu', 'G.L. Schattman', 'A.R. Victor', 'C. T. Zhang']"
01091e68-4b4c-4e36-866d-e7f7fb214589,High-order multiple pregnancy: is it a matter of inaction or a consequence of practice patterns?,Fertility and Sterility,2003,"['Biology', 'Endocrinology', 'Medicine', 'Gynecology', 'Risk factor', 'Surgery']","['43172f71-a92c-4c97-882a-27bffd7e3446', '956e3110-de85-4629-8cc7-207dee60a59e', 'a43e81cb-0d4d-4d5b-afaf-bfe8d3705e40', 'cb2c8956-09d7-4733-92f3-c33f101118e5', 'd809d357-acc1-41b8-859c-3c71ce525b87']","['female', 'factor riesgo', 'procreacion asistida', 'gestation multiple', 'multiple pregnancy', 'inducteur ovulation', 'risk factor', 'hombre', 'gestacion multiple', 'facteur risque', 'fecundacion in vitro transplante embrion', 'fecondation in vitro transfert embryon', 'ovulation inducer', 'hembra', 'inductor ovulacion', 'procreation assistee', 'human', 'assisted procreation', 'femelle', 'practice pattern', 'homme', 'in vitro fertilization embryo transfer']",50,en,None,Elsevier,['P. Chung']
01a0988f-7e2c-43b5-857a-826f50b57b58,Stimulation of the young poor responder: comparison of the luteal estradiol/gonadotropin-releasing hormone antagonist priming protocol versus oral contraceptive microdose leuprolide.,Fertility and Sterility,2011,"['Clinical research', 'Risk assessment', 'Biology', 'Endocrinology', 'Reproduction', 'Mental health', 'Epidemiology', 'Medicine', 'Pathology', 'Public health', 'Program evaluation', 'Prevalence', 'Social behavior', 'Technical report', 'Evaluation', 'Gynecology', 'Behavior change', 'In vitro', 'Health', 'Population dynamics', 'Immunology', 'Data analysis', 'Implementation', 'Perception', 'Endocrine system', 'Measurement', 'Behavior', 'Data collection', 'Promotion', 'Population']","['0f6923b4-cc93-4a95-a1d4-173c535c6030', '1572345e-b66d-4265-870e-84cbd72d47fb', '15878624-f8c2-42e5-976d-7505d44f0c1e', '377ba879-ff35-4830-aca4-93dc56e35dc3', '58ba4871-9f74-4e75-9050-0cd3120da1c3', '64e22eab-cc9a-43d6-b2f7-8880671b288c', '6b2fd979-96f8-49fd-bbf8-0098d5ee50e6', '79cb38a9-38f8-4908-966b-87a5fa0f36f5', '7c546a78-d8ad-40fe-994a-6941666d173b', '824b8d8b-7b36-47b4-b42c-18811f911a2a', '8373d432-5d85-44d9-adbc-9a16b0f2b53c', '8bbf5f9a-e1a9-454f-9e44-e14d97bb413e', '99397f8c-d94b-4bad-9411-4026aad4d44b', 'a0c2c6e3-af1d-422d-8f7a-e0c9b6d5fd10', 'a8869c41-fde6-4772-ab43-a982942205bb', 'b9e0fe36-58c7-4889-8383-b94d1ecc3d63', 'd141f836-45f7-4224-9fed-a2acafed4cc5', 'd66c31aa-ea27-49b0-aa69-c6f1bb357aec', 'd7bb3e19-2851-4840-81d4-cf2761abbb89', 'd7cad141-536c-4219-9a75-a855bbadda96']","['hiv', 'needs', 'age factors', 'ひらめく', 'embolism', 'sociocultural factors', 'hiv transmission', '研究開発', 'mental health', '専門', 'mental disorders', 'condom use', '特許', 'population', '機関', 'treatment', 'contraceptive methods', '検索', '科学技術', 'antiretroviral therapy', 'family and household', '研究者', 'developed countries', '産学連携', '横断検索', 'men', 'endocrine system', 'measurement', 'sexually transmitted diseases', 'retrospective studies', 'jst', '学術', 'obstacles', '独立行政法人', 'puerperium', 'implementation', 'data collection', '検索エンジン', '科学技術振興機構', 'hiv infections', 'geographic factors', 'リンクセンター', 'cross sectional analysis', 'psychological factors', 'thrombosis', 'medical procedures', 'demographic factors', 'biology', 'vascular diseases', 'oral contraceptive', 'gonadotropin releasing hormone', 'quality of health care', 'program activities', '関連検索', '論文', 'program evaluation', 'sex workers', 'pregnancy high risk', 'pulmonary effects', 'clients', 'gnrh antagonist', 'epidemiology', 'ひろがる', 'iud', 'delivery of health care', 'pregnancy', 'j global', 'population characteristics', '遺伝子', 'data analysis', 'contraception', 'risk factors', 'oral contraceptives', 'physiology', 'postpartum', 'hormones', 'prevalence', 'reproduction', 'thromboembolism', 'research methodology', 'mortality', 'データベース', 'ｊｇｌｏｂａｌ', 'studies', 'family planning behavioral methods', 'couples', 'behavior change', 'marketing', 'social behavior', '研究資源', '研究課題', 'reproductive tract infections', 'estrogen priming', 'abstinence', 'promotion', 'jglobal', 'directly observed therapy short course dots', '国立研究開発法人', 'jdream', 'children', 'interventions', 'iud hormone releasing', 'ｊ ｇｌｏｂａｌ', 'utilization of health care', 'アイディア', 'population dynamics', 'viral diseases', 'diseases', '資料', 'interviews', 'persons living with hiv aids', 'risk assessment', 'women', 'medicine', '技術動向', 'evaluation', '書誌情報', 'poor responder', '文献', 'clinical research', 'organization and administration', 'risk reduction behavior', 'technical report', 'estrogens', 'health services evaluation', 'causes of death', 'health', 'health services', '発想', 'ivf failure', 'perception', '化学物質', 'behavior', '統合検索', 'family characteristics', 'family planning', 'oral contraceptives combined', 'ｊｓｔ', 'maternal age', 'parental age', 'programs', 'participation', 'pulmonary embolism', '科学技術用語', 'depression', 'hiv prevention', '応答不良若齢者の刺激 黄体エストラジオール ゴナドトロピン放出ホルモン拮抗薬プライミングプロトコルと微量の経口避妊薬ロイプロリドの比較', 'public health', 'in vitro', 'examinations and diagnoses', 'youth', 'infections', 'systemic lupus erythematosus', 'rural areas', 'tuberculosis', 'つながる', 'developing countries', 'sex behavior', 'economic factors']",50,en@@@ja,"Objective  To evaluate in vitro fertilization (IVF) cycle outcomes in young poor responders treated with a luteal estradiol/gonadotropin-releasing hormone antagonist (E 2 /ANT) protocol versus an oral contraceptive pill microdose leuprolide protocol (OCP-MDL).  Design  Retrospective cohort.  Setting  Academic practice.  Patient(s)  Poor responders: 186 women, aged  2 /ANT or OCP-MDL protocols.  Intervention(s)  None.  Main Outcome Measure(s)  Clinical pregnancies, oocytes retrieved, cancellation rate.  Result(s)  Patients in the E 2 /ANT group had a greater gonadotropin requirement (71.9 ± 22.2 vs. 57.6 ± 25.7) and lower E 2  level (1,178.6 ± 668 vs. 1,627 ± 889), yet achieved similar numbers of oocytes retrieved and fertilized, and a greater number of embryos transferred (2.3 ± 0.9 vs. 2.0 ± 1.1) with a better mean grade (2.14 ± .06 vs. 2.7 ± 1.8) compared with the OCP/MDL group. The E2/ANT group exhibited a trend toward improved implantation rates (30.5% vs. 21.1%) and ongoing pregnancy rates per started cycle: 44 out of 117 (37%) versus 17 out of 69 (25%).  Conclusion(s)  Poor responders aged  2 /ANT protocol to improve cycle outcomes. Both protocols remain viable options for this group. Adequately powered, randomized clinical comparison appears justified.",Elsevier,"['Shefali Shastri', 'Elizabeth Barbieri', 'Isaac Kligman', 'K.D. Schoyer', 'Owen K. Davis']"
01c1bdd4-9a70-4996-8b04-df10145563f5,Outcomes of Intracytoplasmic Sperm Injection Cycles for Complete Teratozoospermia: A Case-Control Study Using Paired Sibling Oocytes,BioMed Research International,2015,"['Andrology', 'Gynecology', 'Obstetrics']","['1e00693a-7d7c-4e7d-ad3e-fd5038ed52c1', '1fcb7990-0952-4614-bc7f-c6d5d5596a11', '287e2caa-f96f-4990-a92b-bc598cc248fe', '2c2a29cf-d037-4106-ac2f-3e5aaf090b98', '31bc4f32-b8cd-4d37-a53a-0ca93262e39f', '3276b20c-f842-485c-a4b9-bc447922e3d6', '352e3d06-0af5-4279-b9f2-02b1b392ced5', '492e1e79-f087-4081-9424-7ebc65be8928', '49930a19-459e-401d-bf36-0fa15f1a6c3f', '5175f0f0-3bb0-45ab-8b75-9a0d26cec3ec', '55674453-7181-4662-971f-8e8fdc27cf19', '5741399e-b9de-498c-8b75-e31b6d1d735c', '6066398a-23f1-4628-9263-ecbdadfb232c', '644a6f7e-ff74-4e2e-9e85-9786cb1ff876', '68862726-8d38-4b6a-8b81-72406b304f70', '6dc3dc25-8981-4724-a6d7-cad18c54165e', '80911532-7843-4de6-b60f-37f8b8bbd30b', '8d93f90a-153e-4ab3-a820-4372dcd1025a', '8e413758-ac5f-4bff-8b20-c3d2ee9f496d', '9438bbdc-41fd-449a-a652-483baad16e44', '94a66083-c1e0-4345-b2c9-38b048ae1093', '98336d86-386e-4bb2-a0ec-81a6a1e2110d', 'a13a3241-2856-421b-9b94-45f274a78299', 'ab8afb5a-79e7-4ef2-8466-fbbced62d1e4', 'ac73a05c-bcfb-4c47-86c2-085bd053395b', 'ace4fd0d-ce1a-4c43-b184-f47ca84a0803', 'b570f3a8-e4d4-4342-9c30-ab8e36665fee', 'bdbc7eb8-644a-4d6b-8dff-8e558c93d85f', 'c9cc1982-ddb3-4fb2-8ea0-440c6742f7e0', 'ca25dbcb-d93c-4aed-b2a4-3d865b1ccd85', 'e839f91b-24d9-486c-8c0c-c31a1c9975d0', 'efe74ffa-2c3d-4ee6-8283-c4cffa62ca3c']",None,50,en,"Objective. To investigate the outcomes of intracytoplasmic sperm injection (ICSI) cycles where sibling oocytes from a single donor were split between two recipients based on strict sperm morphology. Methods. Retrospective cohort study. All ICSI cycles had one donor’s oocytes split between two recipients in a 1 : 1 ratio based on strict sperm morphology, that is, one male partner had morphology of 0% and the other had morphology of g1%. Fertilization, positive hCG, clinical pregnancy, spontaneous miscarriage, and live birth rates of the aforementioned groups were compared. Results. The baseline characteristics of the two groups (), including semen parameters of the male partners, were comparable. There was no difference in the fertilization rates when comparing the 0% group to the g1% group (78.7% versus 81.6%; ). The overall positive hCG, clinical pregnancy, spontaneous miscarriage, and live birth rates for the 0% group were 61.2%, 49.5%, 10.7%, and 38.8%, respectively. The corresponding rates in the g1% group were positive hCG (63.1%), clinical pregnancy (55.3%), spontaneous miscarriage (7.77%), and live birth (46.6%). Conclusions. The fertilization and pregnancy outcomes of ICSI cycles for strict sperm morphology of 0% versus morphology of g1% are equivalent. These results can provide reassurance to couples undergoing ICSI for severe teratospermia.",Hindawi Publishing Corporation,"['Nigel Pereira', 'Q.V. Neri', 'Jovana P. Lekovich', 'Steven D. Spandorfer', 'G.D. Palermo']"
02007f31-d5a1-4aca-86de-d90bdc4e6a67,The perimenopausal patient in in vitro fertilization: the use of gonadotropin-releasing hormone,Fertility and Sterility,1986,"['Biology', 'Endocrinology', 'Peptide hormone', 'Medicine', 'Gynecology', 'Immunology']","['0c99f343-12ba-4300-a1ae-59136da5f03f', '40f3c72a-cc0a-40b2-96d4-b28ebc32d7cf', 'b8049ab1-660f-465b-a4e5-5d12107941f5', 'eba0c42a-3f3f-49a4-b087-a9b04a3938ac']","['traitement', 'inductor de ovulacion', 'tratamiento', 'premenopause', 'ovarian failure', 'treatment', 'inducteur ovulation', 'gonadotropina rh', 'quimioterapia', 'gonadotrophine rh', 'appareil genital femelle pathologie', 'fecundacion in vitro transplante embrion', 'aparato genital femenino patologia', 'gynecology', 'fecondation in vitro transfert embryon', 'ovulation inducer', 'hormona peptidica', 'gynecologie', 'insuficiencia ovarica', 'menopausia', 'menopause', 'chemotherapy', 'female genital diseases', 'chimiotherapie', 'gonadotropin rh', 'insuffisance ovarienne', 'peptide hormone', 'ginecologia', 'hormone peptide', 'premenopausia', 'in vitro fertilization embryo transfer']",50,en,"The perimenopause, incipient ovarian failure, is a major problem in stimulation failures during an in vitro fertilization program. This must be recognized as not necessarily related to age but also associated with adnexal inflammatory and operative processes. Although ovulation occurs uninterruptedly, the follicle-stimulating hormone in the early follicular phase is elevated and the luteinizing hormone is normal. Characteristically, there is no estradiol response to human menopausal gonadotropin therapy or a rapid response with a premature luteinizing hormone surge. These problems sometimes may be overcome with pulsatile intravenous gonadotropin-releasing hormone therapy, 5 or 10 μg/90 or 120 minutes. The major therapeutic problem is in the identification of a luteinizing hormone surge in these patients. Of eight women who were treated, two failed to respond with follicular maturation, three either had no oocytes aspirated from apparently postmature follicles or had postmature oocytes; and one had treatment cancelled due to ovulation. The four latter patients may have failed because of unrecognized ovulation. In the remaining two patients, one oocyte was fertilized and transferred, and one pregnancy occurred.",Elsevier,"['Georgeanna Seegar Jones', 'Suheil J. Muasher', 'Anibal A. Acosta', 'Hung-Ching Liu']"
0285fd97-b7f9-4c66-9b12-8024505cb168,Follicle-stimulating hormone levels on cycle day 3 are predictive of in vitro fertilization outcome.,Fertility and Sterility,1989,"['Endocrinology', 'Andrology', 'Gynecology']","['0c99f343-12ba-4300-a1ae-59136da5f03f', 'c461787a-efff-4db1-adb1-5eb0a630172a', 'd2c784c1-83e6-44ec-9a51-fc99048885df', 'ee500844-1999-47b3-b57f-c68f9efdcf0d']",None,734,en,"Abstract  Cycle day 3 basal levels of follicle-stimulating hormone (FSH), luteinizing hormone (LH), and estradiol (E 2 ) were measured in 441 patients in 758 consecutive cycles to determine their predictive value for stimulation quality and pregnancy rates in in vitro fertilization (IVF). Patients with low basal FSH levels ( 25 mIU/ml). Basal LH and E 2  values did not improve the predictive value beyond that provided by FSH. Ongoing pregnancy rates per attempt in the low, moderate, and high FSH groups were 17.0%, 9.3%, and 3.6%, respectively ( P   2  values ( P",Elsevier,"['R.T. Scott', 'James P. Toner', 'Suheil J. Muasher', 'Sergio Oehninger', 'Shirley M. Robinson']"
